Season,Y_lead,State,new_case,new_death,Administered_Dose1_Pop_Pct,change_in_perc_first,dtc
3,2021,VI,1587,32,58.3,7.299999999999997,0.020163831127914304
0,2022,VI,7887,22,63.9,5.600000000000001,0.002789400278940028
1,2022,VI,589,2,64.9,1.000000000000007,0.003395585738539898
0,2021,VT,8755,106,18.7,18.7,0.012107367218732153
1,2021,VT,8616,44,72.6,53.89999999999999,0.00510677808727948
2,2021,VT,3670,21,78.2,5.6000000000000085,0.005722070844686649
3,2021,VT,19985,129,86.8,8.599999999999994,0.006454841130848136
0,2022,VT,57834,170,92.6,5.799999999999997,0.0029394473838918285
1,2022,VT,8460,28,93.3,0.7000000000000028,0.003309692671394799
0,2021,WA,136115,2077,17.3,17.3,0.015259155860852955
1,2021,WA,96205,809,57.6,40.3,0.008409126344784575
2,2021,WA,126610,809,66.4,8.800000000000004,0.006389700655556433
3,2021,WA,211767,2729,74.8,8.399999999999991,0.01288680483739204
0,2022,WA,649079,2563,80,5.200000000000003,0.003948671887397373
1,2022,WA,60171,791,80.7,0.7000000000000028,0.013145867610643
0,2021,WI,151376,2690,17.9,17.9,0.017770320262128738
1,2021,WI,57053,842,52.7,34.800000000000004,0.014758207280949292
2,2021,WI,59520,606,59.9,7.199999999999996,0.010181451612903226
3,2021,WI,246843,1543,66.7,6.800000000000004,0.006250936830292939
0,2022,WI,591214,3292,71.2,4.5,0.005568203729952268
1,2022,WI,28369,1106,71.8,0.5999999999999943,0.03898621734992421
0,2021,WV,69704,1334,19.5,19.5,0.019138069551245265
1,2021,WV,29858,327,46.9,27.4,0.010951838703195124
2,2021,WV,27977,274,53.7,6.800000000000004,0.009793759159309433
3,2021,WV,105104,1784,61,7.299999999999997,0.016973664180240523
0,2022,WV,195317,1449,64.4,3.4000000000000057,0.00741870907294296
1,2022,WV,9685,636,64.9,0.5,0.06566855962829117
0,2021,WY,15487,350,18.8,18.8,0.02259959966423452
1,2021,WY,5912,48,39.1,20.3,0.008119079837618403
2,2021,WY,14830,139,46.9,7.799999999999997,0.009372892784895483
3,2021,WY,35953,570,54.5,7.600000000000001,0.015854031652435124
0,2022,WY,44012,290,58.2,3.700000000000003,0.006589112060347178
1,2022,WY,1291,89,58.7,0.5,0.06893880712625872
