M,Y,State,Administered_Dose1_Pop_Pct,Administered_Cumulative,new_case,new_death,tot_cases
01,2021,MI,1.6,170017,2553,78,594292
01,2021,MN,1.9,109414,2530,54,417832
01,2021,MO,1.8,118451,2722,39,453523
01,2021,MP,5.9,3053,0,0,122
01,2021,MS,1.1,30996,1889,47,225642
01,2021,MT,2.8,31495,389,10,81944
01,2021,NC,1.4,147141,6455,116,565597
01,2021,ND,3.3,25851,150,0,93041
01,2021,NE,2.6,52242,632,1,168643
01,2021,NH,2.3,30538,1156,11,45184
01,2021,NJ,1.5,124911,5959,27,539546
01,2021,NM,3.1,65267,1237,32,145379
01,2021,NV,1.4,43925,1825,5,228871
01,2021,NY,1.7,364587,9846,97,569204
01,2021,OH,1.7,200965,14293,55,714673
01,2021,OK,2.3,91897,2356,65,331382
01,2021,OR,1.7,76017,2439,15,116348
01,2021,PA,1.8,225834,7898,25,664958
01,2021,PR,2.4,77110,616,19,80727
01,2021,PW,0,0,0,0,0
01,2021,RI,2.5,27502,769,22,87017
01,2021,SC,1.2,63054,5810,54,329060
01,2021,SD,3.5,31331,665,13,99829
01,2021,TN,2.8,204377,6672,48,592198
01,2021,TX,1.9,582931,4763,265,1777246
01,2021,UT,2,63848,1932,16,281654
01,2021,VA,1.8,162509,5010,7,363765
01,2021,VI,1.4,1522,5,0,2041
01,2021,VT,2.9,19580,80,2,7213
01,2021,WA,1.8,141170,4073,0,251651
01,2021,WI,1.6,95836,1129,2,523652
01,2021,WV,3.3,68998,1507,12,89327
01,2021,WY,1.8,10742,164,0,44573
01,2022,AK,67.3,1052355,0,0,151583
01,2022,AL,60.2,5802972,4190,17,914187
01,2022,AR,63.8,3886481,2181,16,572822
01,2022,AS,87.6,79940,0,0,11
01,2022,AZ,68.6,10828754,701,1,1390409
01,2022,CA,78.7,66021738,0,0,5477529
01,2022,CO,76.2,9755629,6214,0,962568
01,2022,CT,90.1,6795014,0,0,510188
01,2022,DC,91.7,1352446,0,0,94286
01,2022,DE,78.3,1620838,3374,0,187309
01,2022,FL,75.8,34396984,39393,53,4333854
01,2022,GA,62.6,13642086,0,0,1839879
01,2022,GU,86.7,312701,71,3,19689
01,2022,HI,83.8,2607793,3117,0,115400
01,2022,IA,65.7,4687432,0,0,582348
01,2022,ID,58.6,2247412,0,0,319382
01,2022,IL,72.3,20132723,0,0,2181009
01,2022,IN,58.5,8640482,0,0,1246854
01,2022,KS,71.1,4204302,0,0,519544
01,2022,KY,63.6,6000726,3292,21,886243
01,2022,LA,58.5,5748979,0,0,828695
01,2022,MA,91.7,13201787,0,0,1140614
01,2022,MD,82.1,10756267,11291,46,747095
01,2022,ME,86.7,2555592,585,0,155692
01,2022,MI,64.4,14453663,0,0,1710271
01,2022,MN,72.1,9295938,0,0,1022212
01,2022,MO,63.2,8182107,0,0,1006913
01,2022,MP,84.2,97141,10,3,3297
01,2022,MS,57.1,3565341,0,0,543737
01,2022,MT,63,1473552,0,0,197724
01,2022,NC,78.3,15247049,11787,25,1730790
01,2022,ND,62.9,1024663,116,0,174742
01,2022,NE,67.7,2939643,0,0,342939
01,2022,NH,83,2262325,0,0,198667
01,2022,NJ,85.1,15339900,26452,3,1623096
01,2022,NM,82.2,3509635,0,0,350043
01,2022,NV,70.8,4406746,0,0,501181
01,2022,NY,85.2,34973404,26876,51,1987234
01,2022,OH,61.3,16281817,37626,0,2053721
01,2022,OK,67.3,5407219,0,0,708938
01,2022,OR,74.9,6959812,0,0,421263
